# Proxy series have been linearly interpolated to annual dataseries, then smoothed using a 25 yr Gaussian low pass filter.					The composite series  have been normalised to the period 1000 - 1974 AD.  

# N1	Malangen Fjord	δ18O of benthic foraminifera 
# N2	Vøring Plateau	δ18O of planktonic foraminifera 
# N3	Vøring Plateau	Planktonic foraminifera 
# N4	Ranafjord	δ18O of benthic foraminifera 
# N5	Norwegian Margin	δ18O of planktonic foraminifera 
# N6	Norwegian Channel	δ18O of benthic foraminifera 
# I1	North Iceland Shelf	Arctica islandica shell growth increments 
# I2	North Iceland Shelf, core site MD99-2275	Diatoms 
# I3	North Iceland Shelf, core site MD99-2276	Alkenones 
# S1	Loch Sunart 	δ18O of benthic foraminifera 
# N_comp	Norwegian Coast	Composite record derived from N1-N6, normalised for the period 1000 - 1974  AD
# I_Comp	North Iceland Shelf	Composite record derived from I1-I3, normalised for the period 1000 - 1974  AD
# NENA_Comp		Composite record derived from the 10 proxy records shown above, normalised for the period 1000 - 1974  AD
#													
#													
Year	N1	N2	N3	N4	N5	N6	I1	I2	I3	S1	N_comp	I_Comp	NENA_Comp
1031	6.522	1.917	11.406		1.318	2.626		7.611	8.443	9.760	0.302	1.316	0.982
1030	6.521	1.940	11.401		1.313	2.631		7.601	8.409	9.746	0.248	1.281	0.929
1029	6.514	1.963	11.397		1.304	2.636		7.600	8.380	9.733	0.209	1.262	0.889
1028	6.504	1.986	11.394		1.290	2.641		7.609	8.359	9.721	0.193	1.264	0.870
1027	6.493	2.008	11.391		1.272	2.645		7.625	8.351	9.710	0.201	1.283	0.871
1026	6.484	2.028	11.389		1.252	2.648		7.650	8.359	9.699	0.232	1.326	0.895
1025	6.483	2.044	11.386		1.230	2.649		7.682	8.385	9.683	0.296	1.390	0.944
1024	6.489	2.057	11.383		1.209	2.647		7.719	8.431	9.661	0.377	1.473	1.008
1023	6.507	2.067	11.379		1.188	2.643		7.760	8.495	9.632	0.484	1.572	1.091
1022	6.533	2.073	11.375		1.171	2.636		7.803	8.573	9.594	0.598	1.683	1.179
1021	6.567	2.075	11.371		1.156	2.627		7.846	8.659	9.547	0.726	1.798	1.274
1020	6.605	2.076	11.367		1.147	2.615		7.888	8.747	9.493	0.837	1.913	1.355
1019	6.642	2.074	11.364		1.141	2.601		7.928	8.827	9.434	0.944	2.021	1.430
1018	6.673	2.071	11.361		1.140	2.587		7.964	8.894	9.372	1.025	2.114	1.483
1017	6.693	2.067	11.359		1.142	2.572		7.996	8.941	9.312	1.084	2.190	1.517
1016	6.699	2.064	11.359		1.148	2.558		8.023	8.967	9.258	1.106	2.246	1.524
1015	6.687	2.061	11.361		1.155	2.545		8.046	8.969	9.213	1.103	2.283	1.512
1014	6.656	2.059	11.365		1.164	2.534		8.065	8.950	9.182	1.064	2.300	1.478
1013	6.606	2.058	11.370		1.172	2.525		8.079	8.913	9.167	1.004	2.300	1.431
1012	6.541	2.057	11.377		1.180	2.519		8.091	8.863	9.171	0.921	2.289	1.377
1011	6.466	2.058	11.384		1.187	2.517		8.100	8.804	9.195	0.821	2.269	1.318
1010	6.388	2.058	11.392		1.191	2.517		8.107	8.741	9.235	0.728	2.243	1.269
1009	6.313	2.059	11.399		1.194	2.520		8.112	8.678	9.287	0.632	2.214	1.224
1008	6.251	2.060	11.404		1.195	2.525		8.117	8.619	9.345	0.552	2.187	1.194
1007	6.205	2.060	11.406		1.194	2.532		8.121	8.568	9.401	0.495	2.163	1.177
1006	6.180	2.059	11.403		1.191	2.540		8.125	8.528	9.447	0.465	2.146	1.175
1005	6.174	2.056	11.396		1.187	2.549		8.129	8.500	9.476	0.461	2.136	1.182
1004	6.184	2.052	11.384		1.183	2.558		8.133	8.485	9.485	0.473	2.133	1.191
1003	6.204	2.047	11.366		1.178	2.567		8.137	8.481	9.473	0.500	2.137	1.199
1002	6.227	2.039	11.343		1.173	2.575		8.141	8.486	9.442	0.538	2.146	1.206
1001	6.247	2.031	11.317		1.168	2.581		8.145	8.500	9.397	0.575	2.160	1.204
1000	6.261	2.021	11.287		1.164	2.587		8.148	8.517	9.343	0.607	2.175	1.195
